REF,Photo,1,Code,REFERENCE VISULS BIS,Nom article,Désignation,Matières,Durée de garantie,poids brut des colis (kg),EAN AVEC LES PACK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ean colis 1,ean colis2,ean colis 3,Dimension Matelas  ,NB RESSORTS,INDICE DE FERMETE,descriptif produit,Nbre de colis,Poids net du produit (kg),poids brut des colis (kg),Dimension du produit en cm,Dimension des colis,Longueur Colis 1,Largeur colis 1,Hauteur colis 1,Longueur Colis 2,Largeur colis 2,Hauteur colis 2,Longueur Colis 3,Largeur colis 3,Hauteur colis 3,Poids colis 1,Poids colis 2,Poids colis 3,QUANTITES EN STOCK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ecopart non incluse,prix avec ecopart,coût transport drop HT,Code
2495,,,Matelas   Villandry 160X 200,Matelas   compressé roulé,Le Villandry,Matelas  ,,5,23,," 1,289.00 € ",3760260155598,,,160X 200,757,4/5,Ressorts ensachés + mousse à mémoire de forme,1,22,23,"160*200*
24",165*35*35,165,35,35,,,,,,,22,,,6," 1,289.00 € ",12.50,#REF!,33.25,Matelas   Villandry 160X 200
2496,,,Matelas   Villandry 180X 200,Matelas   compressé roulé,Le Villandry,Matelas  ,,5,24,," 1,459.00 € ",3760260155581,,,180X 200,850,4/5,Ressorts ensachés + mousse à mémoire de forme,1,26,24,"180*200*
24",185*35*35,185,35,35,,,,,,,26,,,6," 1,459.00 € ",12.50,#REF!,33.25,Matelas   Villandry 180X 200
2497,,,Matelas   Villandry 200X 200,Matelas   compressé roulé,Le Villandry,Matelas  ,,5,30,," 1,599.00 € ",3760260155574,,,200X 200,945,4/5,Ressorts ensachés + mousse à mémoire de forme,1,29,30,"200*200*
24",205*35*35,205,35,35,,,,,,,29,,,6," 1,599.00 € ",12.50,#REF!,33.25,Matelas   Villandry 200X 200
2498,,,Ensemble Villandry 80 X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,33,," 1,028.00 € ",3760260155642,3760260150142.00,,80 X 200,343,4/5,Sommier + Matelas  ,2,32,33,"80*200*2
4 /
80*200*1
5",85**35*35/ 85*200*20,85,35,35,200,80,15,,,,12,20,,4," 1,028.00 € ",8.40,#REF!,59.90,Ensemble Villandry 80 X 200
2499,,,Ensemble Villandry 90 X 190,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,35,," 1,088.00 € ",3760260155635,3760260150135,,90 X 190,463,4/5,Sommier + Matelas  ,2,34,35,"90*190*2
4 /
90*190*1
5",95*35*35 95*195*20,95,35,35,190,90,15,,,,13,21,,4," 1,088.00 € ",8.40,#REF!,59.90,Ensemble Villandry 90 X 190
2700,,,Ensemble Villandry 90 X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,37,," 1,148.00 € ",3760260155628,3760260150128,,90 X 200,487,4/5,Sommier + Matelas  ,2,36,37,"90*200*2
4 /
90*200*1
5",95*35*35 95*205*20,95,35,35,200,90,15,,,,14,22,,4," 1,148.00 € ",8.40,#REF!,59.90,Ensemble Villandry 90 X 200
2701,,,Ensemble Villandry 140 X 190,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,37,," 1,628.00 € ",3760260155611,3760260150104,,140 X 190,720,4/5,Sommier + Matelas  ,2,36,37,"140*190*
24 /
140*190*
15",145*35*35 145*195*20,145,35,35,190,140,15,,,,19,27,,4," 1,628.00 € ",15.08,#REF!,69.90,Ensemble Villandry 140 X 190
2702,,,Ensemble Villandry 140 X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,38,," 1,698.00 € ",3760260155604,3760260150098,,140 X 200,757,4/5,Sommier + Matelas  ,2,37,38,"140*200*
24/
140*200*
15",145*35*35 /145*205*20,145,35,35,200,140,15,,,,19,28,,4," 1,698.00 € ",15.08,#REF!,69.90,Ensemble Villandry 140 X 200
2703,,,Ensemble Villandry 160X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,58,," 1,938.00 € ",3760260155598,3760260150081,,160X 200,866,4/5,Sommier + Matelas  ,2,57,58,"160*200*
24/
160*200*
15",165**35*35 /165*205*20,165,35,35,200,160,15,,,,19,31,,4," 1,938.00 € ",20.08,#REF!,69.90,Ensemble Villandry 160X 200
2704,,,Ensemble Villandry (2x80)X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,63,," 2,067.00 € ",3760260155598,3760260150142,3760260150142,(2x80)X 200,866,4/5,double Sommier + Matelas  ,3,62,63,"160*200*
24/
2*(80*200
*15)",165*35*35 /85*205*20/   85*205*20,165,35,35,200,80,15,200,80,15,22,16,16,12," 2,067.00 € ",21.16,#REF!,69.90,Ensemble Villandry (2x80)X 200
